,id,name,brand,category,rating,feedbacks,supplierRating,base_price,discount_price
1895,99277388,Пояс для отягощений с цепью,Fitsafe,пояс с цепью для отягощения,5,124,4.8,4690.0,1373.0
1896,807376839,Пояс для отягощений с цепью и карабином,,пояс с цепью для отягощения,0,0,4.3,2666.0,911.0
1897,804844826,Пояс для тяжелой атлетики с цепью Черный арт 364г,,пояс с цепью для отягощения,0,0,4.5,2928.0,2209.0
1898,35758050,Аксессуар для тяжелой атлетики,Sportlim,пояс с цепью для отягощения,5,1,4.8,4443.0,2656.0
1899,211988192,Пояс атлетический с цепью,Athlex,пояс с цепью для отягощения,5,3,4.9,3790.0,2266.0
1900,14994584,Пояс для отягощений с цепью атлетический с карабином,ONHILLSPORT,пояс с цепью для отягощения,5,1121,4.8,4951.0,1110.0
1901,259799854,Пояс для отягощения с цепью для подтягивания атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,1092,4.9,4000.0,971.0
1902,203932045,Пояс для отягощения с цепью для подтягивания,sandi,пояс с цепью для отягощения,5,53,4.8,2742.0,837.0
1903,920808823,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,5,5,4.9,1700.0,529.0
1904,766366172,Пояс для отягощения,FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,1700.0,529.0
1905,683571005,Пояс для отягощений,,пояс с цепью для отягощения,5,46,4.9,3000.0,1046.0
1906,264899809,Пояс атлетический для отягощений с цепью черный,Corsuperbia,пояс с цепью для отягощения,5,29,4.9,1213.0,468.0
1907,863592932,Пояс для отягощений с весом,,пояс с цепью для отягощения,4,7,4.8,1560.0,971.0
1908,264950029,Пояс с цепью для отягощений 70 см,,пояс с цепью для отягощения,4,4,4.9,1155.0,376.0
1909,264950684,Пояс с цепью для отягощений 105 см,,пояс с цепью для отягощения,5,2,4.9,1155.0,350.0
1910,226349918,Пояс атлетический для отягощений с цепью,,пояс с цепью для отягощения,5,10,5.0,9500.0,1006.0
1911,158757595,Пояс для отягощения,Pfeifer,пояс с цепью для отягощения,5,161,4.8,3200.0,418.0
1912,197728513,Пояс для отягощения с цепью для подтягивания атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,1092,4.9,4000.0,971.0
1913,325269922,Пояс атлетический утяжелитель с цепью,,пояс с цепью для отягощения,5,259,4.9,2000.0,1167.0
1914,10094938,Пояс атлетический для отягощений с карабином до 150 кг,ONHILLSPORT,пояс с цепью для отягощения,5,1121,4.8,5343.0,1398.0
1915,534830186,Пояс с цепью МАГНИТ 2.0 для отягощения кожаный,IRON BROTHERS,пояс с цепью для отягощения,5,28,4.8,5000.0,2093.0
1916,157891252,Пояс для отягощения с цепью для подтягивания атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,1092,4.9,4000.0,996.0
1917,821250700,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,3020.0,940.0
1918,152953361,Пояс для отягощения,Pfeifer,пояс с цепью для отягощения,5,1833,4.8,3450.0,515.0
1919,157891253,Пояс для отягощения с цепью для подтягивания атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,1092,4.9,4000.0,946.0
1920,556213846,Пояс для отягощений,,пояс с цепью для отягощения,5,147,4.8,5285.0,1550.0
1921,237174574,Пояс атлетический с цепью для отягощений,Надёжная продукция,пояс с цепью для отягощения,5,193,4.8,5890.0,1724.0
1922,444711129,Пояс с цепью МАГНИТ для отягощения,IRON BROTHERS,пояс с цепью для отягощения,5,123,4.8,12000.0,1121.0
1923,264950443,Пояс с цепью для отягощений 85 см,,пояс с цепью для отягощения,5,5,4.9,1155.0,385.0
1924,963676160,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,3020.0,940.0
1925,30088945,"Пояс для отягощений Light Weight, 100 см",ONHILLSPORT,пояс с цепью для отягощения,5,31,4.9,2900.0,1084.0
1926,3896464,Ремень пояс утяжелитель атлетический с цепью,ORIGINAL FITTOOLS,пояс с цепью для отягощения,5,51,4.9,4980.0,1551.0
1927,190439086,Пояс атлетический для отягощения,ULTRA-WOD,пояс с цепью для отягощения,5,97,4.8,1222.0,548.0
1928,97611605,Петля с цепью для отягощений,Stronglab,пояс с цепью для отягощения,5,38,4.9,2550.0,1334.0
1929,586468119,"Пояс для отягощений с цепью, атлетический 100 см",,пояс с цепью для отягощения,5,1,5.0,1600.0,857.0
1930,142681279,Ремень для подвешивания отягощений с поддержкой поясницы,ORIGINAL FITTOOLS,пояс с цепью для отягощения,5,4,4.9,6580.0,1967.0
1931,41626234,Пояс для отягощения с цепью для подтягивания атлетический,stecter,пояс с цепью для отягощения,5,299,4.9,5860.0,2558.0
1932,16428805,Пояс кожаный атлетический с цепью для отягощения,CONTRA,пояс с цепью для отягощения,5,388,4.9,4550.0,1559.0
1933,219509583,Пояс для отягощений Виселица с цепью,A2 union,пояс с цепью для отягощения,5,41,4.9,8000.0,2344.0
1934,923607532,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,0,0,4.9,3000.0,934.0
1935,264896180,Пояс атлетический для отягощений с цепью 85 см черный,Corsuperbia,пояс с цепью для отягощения,5,10,4.9,1155.0,489.0
1936,141000255,Ремешок для отягощений с цепью,Fitsafe,пояс с цепью для отягощения,5,162,4.8,2300.0,687.0
1937,678371952,мужской с цепью для отягощения,Пояс атлетический,пояс с цепью для отягощения,5,1,4.8,1900.0,1450.0
1938,608950344,Пояс атлетический для отягощений с цепью,,пояс с цепью для отягощения,5,3,5.0,1850.0,1002.0
1939,948733856,Пояс для отягощения,FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,1700.0,529.0
1940,969282696,Пояс для отягощения с цепью,LIVEPRO,пояс с цепью для отягощения,5,10,4.9,4260.0,2114.0
1941,157891254,Пояс для отягощения с цепью для подтягивания атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,1092,4.9,4000.0,996.0
1942,264951327,Пояс с цепью для отягощений 110 см,,пояс с цепью для отягощения,0,0,4.9,1155.0,324.0
1943,186313857,Пояс атлетический широкий из кожи с цепью,CONTRA,пояс с цепью для отягощения,5,69,4.9,4950.0,1850.0
1944,180105583,Пояс для отягощений с цепью атлетический с карабином,Александр Большунов,пояс с цепью для отягощения,5,10,4.9,4860.0,1947.0
1945,264894801,Пояс для отягощений с цепью 70 см черный,Corsuperbia,пояс с цепью для отягощения,5,7,4.9,1155.0,482.0
1946,640860625,Пояс для отягощений с цепью утяжелитель,,пояс с цепью для отягощения,5,3,4.9,2773.0,1433.0
1947,963695261,"Пояс для отягощений с цепью, с карабином для подтягивания",FIGHT BALL,пояс с цепью для отягощения,5,64,4.9,3020.0,940.0
1948,264900057,Пояс для отягощений с цепью 110 см черный,Corsuperbia,пояс с цепью для отягощения,5,3,4.9,1155.0,482.0
1949,30087941,"Пояс для отягощений Light Weight, 85 см",ONHILLSPORT,пояс с цепью для отягощения,5,37,4.9,2900.0,1084.0
1950,177487937,Пояс атлетический для тяжелой атлетики,Vinmax,пояс с цепью для отягощения,5,43,4.8,2600.0,1214.0
1951,32389729,"Пояс для отягощений Light Weight, 115 см",ONHILLSPORT,пояс с цепью для отягощения,4,7,4.9,2900.0,1084.0
1952,170653584,Пояс для отягощения,Pfeifer,пояс с цепью для отягощения,5,205,4.8,3200.0,478.0
1953,264950591,Пояс с цепью для отягощений 100см,,пояс с цепью для отягощения,5,5,4.9,1155.0,429.0
1954,202879556,Пояс для отягощения с цепью 85 см c нагрузкой до 120кг,Progress.mg,пояс с цепью для отягощения,5,83,4.8,3200.0,1237.0
1955,505406732,Пояс для отягощений с цепью для подтягиваний атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,23,4.9,4000.0,922.0
1956,505416278,Пояс для отягощений с цепью для подтягиваний атлетический,HARDY HUMAN,пояс с цепью для отягощения,5,23,4.9,4000.0,922.0
